,n_pos,Tense : ['Imp'],Mood : ['Cnd'],Number : ['Plur'],Number : ['Sing'],n_stem,nb_mot,ratio_stop,sect 4,Gender : ['Masc'],Mood : ['Imp'],sect 6,sect 5,ratio_tok,sect 0,lg_phrase,n_tok,VerbForm : ['Part'],Mood : [],Tense : [],Voice : ['Pass'],Number : [],Tense : ['Fut'],Mood : ['Sub'],Person : [],sect 3,n_stop,mean_par,Voice : [],nb_phrase,ratio_stem,sect 2,Gender : ['Fem'],punct,VerbForm : ['Inf'],VerbForm : ['Fin'],Person : ['3'],Person : ['2'],n_par,Tense : ['Pres'],Mood : ['Ind'],Person : ['1'],sect 1,Tense : ['Past'],Gender : []
Optique,14,1,4,46,130,828,2504,0.393370607028754,0,39,0,0,0,0.38338658146964855,0,183.79569892473117,960,109,169,60,7,82,3,1,169,0,985,0.04281362503461645,251,93,0.009216589861751152,0,53,4.956989247311828,60,89,87,0,23,100,84,2,0,94,166
Opéra,14,3,2,58,219,1134,3115,0.3608346709470305,0,135,0,0,0,0.40930979133226325,0,147.0,1275,192,240,48,11,76,14,1,240,0,1124,0.09887711960721916,342,133,0.007031642390758413,0,35,4.541353383458647,48,113,108,1,142,106,110,4,0,182,183
Or,15,27,12,230,543,2667,10104,0.39578384798099764,0,301,1,0,0,0.29849564528899447,0,149.38995215311004,3016,532,679,148,53,236,14,15,680,0,3999,0.09456068145641232,956,418,0.002455795677799607,0,153,4.84688995215311,147,330,322,0,136,348,302,7,0,472,555
Orbite,14,3,2,30,139,623,2169,0.4029506685108345,0,46,0,0,0,0.32918395573997233,0,158.54545454545453,714,123,149,26,14,63,3,2,149,0,874,0.10195131252780779,218,88,0.01078582434514638,0,46,4.613636363636363,26,83,82,0,50,106,79,1,0,94,140
Orchestre,14,3,0,10,45,313,804,0.4129353233830846,0,15,0,0,0,0.4564676616915423,0,140.38888888888889,367,29,52,23,5,28,1,0,52,0,332,0.03716913835179275,78,36,0.029661016949152543,0,9,4.277777777777778,23,31,31,0,8,30,31,0,0,26,59
Ordinateur,15,15,1,95,232,1140,4232,0.3976843100189036,0,100,1,0,0,0.31261814744801514,0,186.3448275862069,1323,203,313,110,27,133,8,3,313,0,1683,0.06157762564931714,433,145,0.005870841487279843,0,81,4.517241379310345,110,147,143,1,51,139,142,3,0,188,279
Organisation des Nations unies,15,18,1,104,243,1342,4768,0.39786073825503354,0,127,0,0,0,0.31648489932885904,0,193.01242236024845,1509,223,302,79,12,106,6,7,302,0,1897,0.03711321218074656,441,161,0.005222841225626741,0,71,5.409937888198757,79,151,147,0,81,147,143,4,0,203,255
Organisation du traité de l'Atlantique nord,15,35,9,318,737,2569,14602,0.40761539515134915,0,287,1,0,0,0.20538282427064786,0,197.54935622317598,2999,628,900,273,49,386,16,11,900,0,5952,0.019312557383623374,1392,466,0.0017331022530329288,0,235,5.180257510729613,272,541,534,1,138,575,520,6,0,542,919
Organisation mondiale de la santé,15,10,3,89,213,1336,5186,0.4053220208252989,0,122,0,0,0,0.29676050906286155,0,155.08653846153845,1539,222,299,77,22,125,2,10,299,0,2102,0.02144015374451985,405,208,0.004862236628849271,0,63,4.1923076923076925,77,128,125,0,33,147,115,3,0,191,242
Organisation mondiale du commerce,15,12,1,109,256,1336,5664,0.401659604519774,0,139,0,0,0,0.2752471751412429,0,180.935,1559,261,371,111,27,169,2,4,372,0,2275,0.23670801486864637,507,200,0.004424778761061947,0,77,5.235,110,163,156,0,52,187,158,6,0,222,318
Organisme (physiologie),12,0,0,7,17,188,432,0.3726851851851852,0,10,0,0,0,0.5416666666666666,0,159.3684210526316,234,17,27,10,2,15,0,0,27,0,161,0.06343397377249162,37,19,0.04428044280442804,0,3,4.842105263157895,10,12,12,0,6,14,12,0,0,15,26
Origine de la vie,15,28,13,330,668,2519,13165,0.3811621724268895,0,342,0,0,0,0.2278769464489176,0,177.21149897330596,3000,733,1042,309,64,511,8,14,1042,0,5018,0.03638173172619706,1445,487,0.0018400392541707558,0,208,4.815195071868583,309,467,462,0,114,565,440,5,0,599,959
Outil,14,5,0,34,68,494,1222,0.39198036006546644,0,40,0,0,0,0.47708674304418985,0,167.6595744680851,583,71,97,26,11,43,1,0,97,0,479,0.081199538638985,134,47,0.018842530282637954,0,16,5.574468085106383,26,48,48,0,16,54,48,0,0,59,89
Oxygène,13,3,3,65,225,1047,3438,0.3970331588132635,0,92,0,0,0,0.3403141361256545,0,165.74242424242425,1170,217,265,48,12,107,2,5,265,0,1365,0.024318121634742694,385,132,0.006271104679208876,0,72,4.257575757575758,48,132,131,0,27,174,124,1,0,170,233
Pablo Picasso,14,24,5,88,565,1823,6475,0.38903474903474905,0,189,0,0,0,0.307027027027027,0,117.9880239520958,1988,384,463,79,21,121,25,12,463,0,2519,0.03397376953975705,753,334,0.0035371399696816574,0,152,4.413173652694611,79,311,307,2,72,288,294,2,0,358,433
Pain,16,26,7,154,429,1998,7639,0.42008116245581884,0,200,0,0,0,0.2958502421782956,0,108.66428571428571,2260,380,522,142,23,199,8,2,522,0,3209,0.04577443115369622,759,420,0.0036036036036036037,0,127,3.8095238095238093,142,260,254,0,111,265,251,6,0,341,455
Paix,14,4,0,25,89,617,1607,0.4057249533291848,0,36,0,0,0,0.43497199751088983,0,157.953125,699,62,98,36,9,43,3,1,98,0,652,0.07514032228861126,148,64,0.014644351464435146,0,19,5.03125,36,59,59,0,16,56,58,0,0,58,102
Pakistan,14,11,2,119,266,1621,5417,0.39634484031751893,0,126,0,0,0,0.3343178881299612,0,147.24675324675326,1811,241,304,63,19,92,3,1,304,0,2147,0.02283571915473756,458,231,0.004281345565749235,0,89,3.878787878787879,63,173,167,0,33,182,170,6,0,218,262
Paludisme,14,28,5,166,362,2067,7132,0.39722378014582166,0,175,0,0,0,0.32908020190689846,0,167.3731884057971,2347,338,469,131,31,201,13,5,469,0,2833,0.6447715774658602,698,276,0.0032558139534883722,0,102,4.605072463768116,131,260,254,1,328,272,250,5,0,285,452
Panthéisme,15,12,2,31,258,980,3804,0.3953732912723449,0,76,0,0,0,0.28575184016824395,0,114.65482233502539,1087,147,219,72,17,97,0,2,219,0,1504,0.13617149758454106,369,197,0.006516072980017376,0,47,4.6091370558375635,72,167,163,0,111,173,163,4,0,129,263
Paris,15,51,15,521,1356,5198,26392,0.40197787208244923,0,558,1,0,0,0.22628069111852075,0,169.7047817047817,5972,1218,1512,294,81,496,31,20,1512,0,10609,0.17352616803689594,2292,962,0.0009491268033409263,0,477,4.554054054054054,294,861,847,2,394,939,825,12,0,1058,1338
Partage de l'Afrique,15,21,3,64,204,1156,3349,0.3887727679904449,0,95,0,0,0,0.3875783816064497,0,202.9814814814815,1298,193,251,58,22,86,8,3,251,0,1302,0.05932599549530407,332,108,0.007320644216691069,0,74,6.12037037037037,58,103,102,0,52,93,97,1,0,174,185
Parthénon,15,45,5,152,419,1875,6470,0.41004636785162285,0,187,0,0,0,0.32905718701700154,0,144.4731182795699,2129,398,515,117,31,186,5,4,515,0,2653,0.05103560623690947,726,279,0.00392875851231011,0,152,4.301075268817204,117,242,238,0,65,241,233,4,0,349,418
Particule subatomique,11,0,1,18,10,172,398,0.41457286432160806,0,8,0,0,0,0.5301507537688442,0,194.35714285714286,211,25,33,8,1,14,0,0,33,0,165,0.007919366450683946,41,14,0.04721030042918455,0,12,4.5,8,9,8,1,1,13,8,0,0,21,22
Pasteurisation,14,23,0,38,110,545,1494,0.40896921017402943,0,44,0,0,0,0.42369477911646586,0,148.3134328358209,633,81,105,24,5,33,1,0,105,0,611,0.03083148665574718,176,67,0.015855039637599093,0,28,3.417910447761194,24,76,76,0,15,60,76,0,0,73,109
Paul de Tarse,15,16,2,109,383,1700,6180,0.39935275080906146,0,186,0,0,0,0.3092233009708738,0,150.37246963562754,1911,330,430,103,35,156,11,5,433,0,2468,0.06263089657923607,613,247,0.004033342296316214,0,102,4.663967611336032,100,218,209,5,89,221,211,1,0,297,360
Pauvreté,14,9,6,153,376,1683,6339,0.4103170847136772,0,245,0,0,0,0.30525319451017513,0,182.87793427230048,1935,372,474,102,19,152,8,4,474,0,2601,0.06546656520498431,662,213,0.003745318352059925,0,83,4.544600938967136,102,207,202,0,60,230,197,5,0,332,353
Pays,13,1,0,18,54,353,1040,0.3701923076923077,0,29,0,0,0,0.4115384615384615,0,145.86363636363637,428,50,69,19,7,30,0,0,69,0,385,0.08975432719151312,95,44,0.01984732824427481,0,10,4.409090909090909,19,33,31,0,14,41,33,2,0,41,63
Peau,14,4,0,56,83,735,1971,0.4094368340943683,0,29,0,0,0,0.41603247082699135,0,147.16091954022988,820,87,124,37,9,52,1,1,124,0,807,0.09819013938007073,182,87,0.01201716738197425,0,43,3.9310344827586206,37,67,64,1,38,75,66,2,0,74,119
Peine de mort,15,47,12,228,705,2292,11556,0.4098303911388024,0,378,1,0,0,0.23251990308065074,0,187.86103542234332,2687,643,858,215,67,312,13,9,858,0,4736,0.3610090732101532,1178,367,0.002197158341877838,0,190,4.689373297002724,215,387,380,1,100,375,365,6,0,595,677
Peinture (art),14,7,0,22,77,538,1417,0.4206069160197601,0,37,0,0,0,0.4347212420606916,0,192.0212765957447,616,69,96,27,4,39,3,0,96,0,596,0.05935696619950536,134,47,0.01705237515225335,0,20,4.9787234042553195,27,42,42,0,25,42,42,0,0,59,81
Pendule (physique),15,2,0,7,91,371,1200,0.4083333333333333,0,26,0,0,0,0.3575,0,119.0327868852459,429,70,109,39,7,58,0,0,109,0,490,0.06338922764227642,149,61,0.02109704641350211,0,25,3.360655737704918,39,47,46,0,15,62,47,1,0,53,105
Pensée,12,0,1,2,15,78,127,0.2677165354330709,0,6,0,0,0,0.7401574803149606,0,75.25,94,12,13,1,0,1,0,0,13,0,34,0.1791958041958042,18,12,0.1276595744680851,0,6,3.25,1,5,5,0,7,5,4,0,0,12,6
Peste noire,16,27,8,195,388,2299,7792,0.4078542094455852,0,208,0,0,0,0.33316221765913756,0,143.9375,2596,392,509,118,33,195,6,9,510,0,3178,0.05489135683244809,745,336,0.0034639532366313053,0,116,4.300595238095238,117,269,261,0,104,291,252,7,0,336,454
Peur,14,3,0,62,173,911,2732,0.3920204978038067,0,57,0,0,0,0.390190336749634,0,141.34710743801654,1066,150,230,80,23,109,5,5,230,0,1071,0.042116331839061376,321,121,0.00841852074564041,0,65,3.809917355371901,80,114,110,1,9,127,109,3,0,129,222
Philippines,15,25,5,253,486,2714,9885,0.39575113808801216,0,263,2,0,0,0.31360647445624684,0,138.73883928571428,3100,461,561,100,30,160,17,8,561,0,3912,0.11115349836102634,869,448,0.0025100401606425703,0,146,4.397321428571429,100,338,321,2,130,340,323,15,0,417,490
Philosophie,15,33,3,163,565,2262,9981,0.4175934275122733,0,190,0,0,0,0.26219817653541727,0,154.62350119904076,2617,442,644,202,25,279,16,9,644,0,4168,0.07354195088676671,982,417,0.0025786487880350697,0,182,4.235011990407674,202,363,360,0,159,365,351,3,0,391,635
Philosophie analytique,14,5,0,44,144,859,2517,0.3412793007548669,0,69,0,0,0,0.3865713150576083,0,114.58389261744966,973,127,178,51,22,71,4,2,178,0,859,0.063927433723881,237,149,0.008443908323281062,0,41,5.046979865771812,51,81,79,0,36,85,79,2,0,114,149
Philosophie chinoise,14,7,1,46,119,803,2199,0.39836289222373805,0,54,0,0,0,0.41791723510686674,0,157.33333333333334,919,114,159,45,10,66,3,2,159,0,876,0.04526663910706904,221,87,0.010582010582010581,0,40,4.2298850574712645,45,72,72,0,25,79,69,0,0,97,137
Philosophie contemporaine,10,0,0,2,16,149,292,0.3664383561643836,0,3,0,0,0,0.6164383561643836,0,141.57142857142858,180,7,22,15,0,16,0,0,22,0,107,0.08836789900811542,34,14,0.05405405405405406,0,3,4.857142857142857,15,12,12,0,7,13,12,0,0,6,28
Philosophie des sciences,15,2,2,31,88,597,1531,0.36708033964728937,0,30,0,0,0,0.4526453298497714,0,112.01052631578948,693,71,110,39,6,50,1,2,110,0,562,0.0473900498382443,163,95,0.015353121801432957,0,31,3.6210526315789475,39,59,56,0,28,62,55,3,0,65,108
Philosophie en Grèce antique,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,288.0,0,0,0,0,0,0,0,0,0,0,0,0.20588235294117646,0,1,0.0,0,0,0.0,0,0,0,0,2,0,0,0,0,0,0
Philosophie indienne,14,3,2,52,221,1124,3580,0.41145251396648047,0,88,0,0,0,0.34972067039106147,0,127.28977272727273,1252,175,231,58,16,89,10,8,233,0,1473,0.0542432195975503,346,176,0.006644518272425249,0,60,4.403409090909091,56,131,127,0,72,138,121,2,0,153,214
Philosophie islamique,15,8,0,43,147,861,2516,0.3569157392686804,0,72,0,0,0,0.3899046104928458,0,135.91596638655463,981,125,170,45,12,62,6,1,170,0,898,0.03551445903763473,240,119,0.009253547193090685,0,36,5.0,45,82,77,1,32,81,81,4,0,112,144
Philosophie médiévale,14,28,4,76,274,1340,4153,0.382374187334457,0,99,0,0,0,0.36937153864676137,0,170.09375,1534,200,270,70,16,94,4,3,270,0,1588,0.06068168609620184,428,160,0.005455962587685113,0,78,5.4,70,174,169,0,99,157,167,5,0,185,267
Philosophie occidentale,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,,0,0,0,0,0,0,0,0,0,0,0
Philosophie orientale,13,0,0,13,16,152,331,0.3413897280966767,0,12,0,0,0,0.56797583081571,0,222.27272727272728,188,23,28,5,3,8,0,0,28,0,113,0.10123367198838897,34,11,0.0593607305936073,0,9,4.545454545454546,5,9,9,0,4,11,9,0,0,21,16
Photographie,14,25,1,80,284,1339,4481,0.3891988395447445,0,111,0,0,0,0.3423343003793796,0,151.4516129032258,1534,239,341,102,26,157,15,1,341,0,1744,0.05084858790970625,495,186,0.005107624954396206,0,82,4.440860215053763,102,180,177,1,35,176,178,2,0,203,328
Photon,15,8,1,41,155,752,2828,0.41124469589816126,0,61,0,0,0,0.307991513437058,0,162.54368932038835,871,119,172,53,9,74,7,1,172,0,1163,0.07324005247048535,261,103,0.008998200359928014,0,45,3.2815533980582523,53,98,93,1,45,93,96,4,0,109,164
Photosynthèse,15,4,4,111,278,1226,5044,0.40007930214115783,0,105,0,0,0,0.2753766851704996,0,214.42207792207793,1389,209,309,100,23,134,5,10,309,0,2018,0.024534488816020612,500,154,0.004953764861294584,0,73,5.967532467532467,100,214,211,0,31,229,200,3,0,185,345
Physique,15,9,3,95,286,1685,5009,0.3347973647434618,0,121,1,0,0,0.3751247754042723,0,172.4974358974359,1879,230,310,80,20,119,8,1,310,0,1677,0.034864353668520455,480,195,0.0044964028776978415,0,76,6.615384615384615,80,190,187,1,37,200,185,2,0,203,303
Physique des particules,15,6,5,95,199,1047,3607,0.373163293595786,0,85,0,0,0,0.3310230108123094,0,117.96534653465346,1194,182,223,42,22,67,5,2,224,0,1346,0.09138215034441449,339,202,0.006631299734748011,0,76,3.772277227722772,41,138,131,1,84,141,131,5,0,167,200
Pi,14,14,3,108,406,1416,6447,0.41631766713199936,0,195,0,0,0,0.2568636575151233,0,173.17937219730942,1656,346,485,140,25,213,10,1,486,0,2684,0.07356256377399682,702,223,0.0037184594953519256,0,89,3.883408071748879,139,242,233,0,85,276,238,8,0,287,443
Pierre-Simon de Laplace,15,8,7,72,333,1519,4921,0.4106888843730949,0,104,1,0,0,0.3452550294655558,0,156.46039603960395,1699,209,294,85,16,113,8,2,294,0,2021,0.14019018884189544,502,202,0.005165289256198347,0,81,4.514851485148514,85,224,219,1,45,229,214,4,0,188,333
Pile électrique,15,2,2,59,179,925,3009,0.4074443336656697,0,43,0,0,0,0.34097706879361916,0,135.0281690140845,1026,114,169,55,9,73,2,1,169,0,1226,0.1072247180709636,302,142,0.008408071748878924,0,53,3.8028169014084505,55,142,140,0,76,153,139,2,0,99,215
Piliers de l'islam,13,0,0,6,28,208,521,0.4126679462571977,0,7,0,0,0,0.472168905950096,0,192.41176470588235,246,25,33,8,1,20,1,0,33,0,215,0.08277962347729789,53,17,0.042483660130718956,0,7,5.823529411764706,8,21,20,0,31,31,21,1,0,14,40
Plan (mathématiques),14,2,1,41,100,509,2308,0.41074523396880414,0,27,0,0,0,0.26776429809358754,0,155.79545454545453,618,72,114,42,8,64,3,2,114,0,948,0.0466296372488514,197,88,0.010294117647058823,0,23,3.125,42,91,91,0,19,100,88,0,0,58,155
Plante,14,7,1,130,186,1286,4637,0.41449212853137807,0,61,0,0,0,0.3198188483933578,0,160.7032967032967,1483,157,247,90,14,117,10,1,247,0,1922,0.07734720578157124,419,182,0.0051489518205222505,0,68,3.28021978021978,90,186,185,0,80,192,184,1,0,134,304
Planète,15,7,2,79,185,978,3250,0.37876923076923075,0,77,1,0,0,0.33784615384615385,0,165.61111111111111,1098,164,224,60,9,87,3,5,224,0,1231,0.07561627041464163,342,126,0.007425742574257425,0,65,4.611111111111111,60,127,125,1,49,137,119,1,0,144,209
Platon,15,35,8,212,852,2699,12788,0.40029715358148266,0,270,1,0,0,0.2406944010009384,0,156.39334637964774,3078,556,837,281,49,370,14,13,837,0,5119,0.019530017235938144,1385,511,0.0019528707199583388,0,211,5.731898238747553,281,597,584,1,99,612,575,12,0,492,953
Pluie,14,12,5,92,154,1025,3003,0.3882783882783883,0,60,0,0,0,0.39294039294039296,0,144.91666666666666,1180,139,190,51,12,79,3,1,190,0,1166,0.2574310589498715,313,132,0.007621121393576484,0,52,3.8863636363636362,51,135,131,0,57,142,129,4,0,117,213
Pneumonie aiguë,14,0,0,19,47,368,854,0.3524590163934426,0,21,0,0,0,0.49882903981264637,0,126.38775510204081,426,53,65,12,5,20,0,2,65,0,301,0.05278195488721805,81,49,0.025225225225225224,0,25,3.673469387755102,12,21,21,0,13,27,19,0,0,47,40
Point (géométrie),14,3,0,13,44,243,641,0.33541341653666146,0,22,0,0,0,0.44461778471138846,0,107.69444444444444,285,28,38,10,1,12,1,2,38,0,215,0.07215041128084607,68,36,0.03278688524590164,0,3,5.555555555555555,10,31,29,0,8,28,29,2,0,27,44
Poisson,15,10,6,125,180,1309,4054,0.3993586581154415,0,105,0,0,0,0.3672915638875185,0,158.15757575757576,1489,188,248,60,16,97,8,1,248,0,1619,0.09875281128603558,386,165,0.006160164271047228,0,49,3.8363636363636364,60,154,145,0,73,165,147,9,0,159,248
Police (institution),14,2,2,38,109,777,2260,0.3845132743362832,0,46,0,0,0,0.39247787610619467,0,169.15116279069767,887,77,112,35,5,42,5,2,112,0,869,0.03366583541147132,184,86,0.010064701653486701,0,24,5.313953488372093,35,77,76,0,21,71,73,1,0,76,119
Politique,15,17,4,110,281,1489,4985,0.3817452357071214,0,125,0,0,0,0.3460381143430291,0,152.0593607305936,1725,212,341,129,16,153,4,8,341,0,1903,0.0667293492989685,528,219,0.004862236628849271,0,65,4.589041095890411,129,203,202,0,66,194,191,1,0,200,354
Pollution,15,16,2,160,228,1577,5549,0.41034420616327266,0,124,0,0,0,0.33249234096233554,0,168.91981132075472,1845,257,333,76,16,122,3,4,333,0,2277,0.07915406319107293,494,212,0.004578754578754579,0,99,4.438679245283019,76,177,176,0,95,186,171,1,0,229,287
Polygone,13,1,0,37,103,336,1459,0.3934201507882111,0,58,0,0,0,0.28855380397532554,0,132.7058823529412,421,79,106,27,4,37,1,1,106,0,574,0.09071210479661183,173,68,0.014656144306651634,0,11,3.6911764705882355,27,71,70,1,26,74,70,0,0,74,108
Polythéisme,14,1,0,13,29,271,666,0.3858858858858859,0,13,0,0,0,0.4864864864864865,0,212.75,324,32,41,9,4,19,0,0,41,0,257,0.21007167800036758,57,20,0.034229828850855744,0,10,4.5,9,20,20,0,23,28,20,0,0,23,38
Polyèdre,15,4,1,54,178,708,2804,0.3848074179743224,0,79,0,0,0,0.2913694721825963,0,120.37333333333333,817,137,250,113,10,135,2,2,250,0,1079,0.06733989647822998,357,150,0.008685581933989578,0,38,3.8066666666666666,113,117,115,0,40,127,114,2,0,121,250
Pomme de terre,15,13,1,348,732,2974,13999,0.42667333380955785,0,307,2,0,0,0.24208872062290163,0,140.81260647359454,3389,769,963,194,78,261,9,11,963,0,5973,0.06859422399519963,1263,587,0.0018661358546902215,0,398,3.2759795570698467,194,378,372,3,290,395,364,3,0,730,636
Pont,14,18,8,424,540,2486,11611,0.4195159762294376,0,321,1,0,0,0.25114115924554303,0,163.10185185185185,2916,630,807,178,79,284,68,9,809,0,4871,0.01847078445697272,1169,432,0.0020771513353115725,0,223,3.7453703703703702,177,441,433,1,81,413,423,5,0,571,704
Pop (musique),14,1,1,26,69,451,1093,0.37602927721866425,0,39,0,0,0,0.4757548032936871,0,187.14285714285714,520,67,84,17,5,24,3,1,84,0,411,0.12370860927152318,114,35,0.020527859237536656,0,21,5.428571428571429,17,35,35,0,23,37,33,0,0,61,59
Portugais,15,5,3,60,136,830,2544,0.3922955974842767,0,88,0,0,0,0.37264150943396224,0,125.02962962962962,948,139,161,23,10,39,1,2,162,0,998,0.13905592303066747,225,135,0.009683666881859263,0,36,4.481481481481482,22,74,73,0,99,81,69,0,0,125,111
Postmodernisme,14,1,2,31,84,660,1504,0.3696808510638298,0,50,0,0,0,0.4913563829787234,0,165.70491803278688,739,77,117,40,12,55,2,1,117,0,556,0.04478447471543198,158,61,0.014767932489451477,0,17,4.721311475409836,40,53,53,0,24,58,50,0,0,69,103
