,Tense : ['Pres'],Mood : ['Imp'],ratio_stem,POS : NOUN,Person : [],POS : AUX,nb_phrase,POS : SPACE,Tense : ['Fut'],sect 4,POS : PROPN,sect 1,POS : DET,Number : [],n_stop,Mood : ['Ind'],POS : VERB,mean_par,POS : PRON,Person : ['3'],Mood : ['Cnd'],VerbForm : ['Inf'],POS : X,Person : ['1'],Tense : [],n_par,Mood : [],ratio_stop,POS : ADP,Gender : [],lg_phrase,n_stem,POS : SCONJ,Gender : ['Fem'],n_pos,POS : PUNCT,Tense : ['Past'],sect 5,Voice : [],Person : ['2'],sect 0,POS : INTJ,Gender : ['Masc'],nb_mot,Mood : ['Sub'],POS : CCONJ,VerbForm : ['Part'],Tense : ['Imp'],sect 6,n_paragraphe,n_tok,ratio_tok,Number : ['Sing'],sect 2,punct,sect 3,POS : ADJ,Number : ['Plur'],POS : ADV,POS : SYM,POS : NUM,Voice : ['Pass'],VerbForm : ['Fin'],lab_y
enfant,74,0,0.01174496644295302,0.3347315436241611,115,0.01761744966442953,67,0.0,7,0,0.010906040268456376,16,0.02181208053691275,48,768,64,0.15100671140939598,0.09996494917630565,0.010906040268456376,64,0,25,0.008389261744966443,1,25,30,115,0.39183673469387753,0.037751677852348994,109,188.65671641791045,756,0.0050335570469798654,26,14,0.015100671140939598,74,0,172,0,1,0.0,45,1960,1,0.0050335570469798654,90,0,0,24,833,0.425,92,14,5.567164179104478,0,0.25419463087248323,40,0.09395973154362416,0.0,0.03355704697986577,8,65,0
nourrisson,47,0,0.023131672597864767,0.2722419928825623,68,0.019572953736654804,51,0.0,3,0,0.008896797153024912,4,0.033807829181494664,43,396,43,0.19750889679715303,0.034287616511318245,0.010676156583629894,43,0,31,0.026690391459074734,0,31,7,68,0.4133611691022965,0.03202846975088968,86,111.86274509803921,378,0.0071174377224199285,6,13,0.0017793594306049821,27,0,107,0,1,0.0,19,958,0,0.0,37,3,0,8,445,0.46450939457202506,48,6,2.843137254901961,0,0.2722419928825623,20,0.08718861209964412,0.0,0.030249110320284697,4,43,0
mariage,346,0,0.0026214610276127227,0.3105557497378539,604,0.023942677385529534,385,0.0005242922055225446,9,0,0.013631597343586158,14,0.024292205522544564,235,3805,330,0.16637539321915415,0.06578514468345109,0.016427822439706398,338,4,172,0.008912967493883258,9,173,107,603,0.3995589625118135,0.042991960852848655,573,153.01298701298703,2155,0.0027962250961202375,140,15,0.009961551904928347,393,0,917,1,1,0.0,239,9523,15,0.0031457532331352674,431,31,0,30,2480,0.26042213588154994,495,40,4.4467532467532465,26,0.264767563788885,222,0.07602236980076896,0.0,0.03565186997553303,35,349,0
meuble,39,0,0.016928657799274487,0.25755743651753327,84,0.012091898428053204,59,0.0,1,0,0.014510278113663845,5,0.018137847642079808,27,590,33,0.14268440145102781,0.04278192189556823,0.013301088270858524,32,0,19,0.012091898428053204,2,19,16,84,0.41725601131541723,0.030229746070133012,61,145.79661016949152,510,0.0024183796856106408,11,14,0.008464328899637243,58,0,111,0,1,0.0,46,1414,1,0.0048367593712212815,65,1,0,4,585,0.41371994342291374,36,9,3.2542372881355934,0,0.3518742442563482,55,0.11729141475211609,0.0,0.014510278113663845,7,34,0
genre,0,0,0.0,0.0,0,0.0,0,0.0,0,0,0.0,0,0.0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0,0,0,0,0.0,0.0,0,0.0,0,0.0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0.0,0.0,0,0,0
homme,65,0,0.01403180542563143,0.3507951356407858,84,0.015902712815715623,75,0.0009354536950420954,3,0,0.01777362020579981,10,0.01777362020579981,35,684,62,0.13751169317118803,0.03343843345502821,0.01403180542563143,61,0,22,0.002806361085126286,2,22,16,84,0.3904109589041096,0.03274087932647334,96,153.17333333333335,651,0.005612722170252572,17,15,0.00841908325537886,52,0,145,0,1,0.0,34,1752,1,0.0009354536950420954,62,5,0,9,745,0.4252283105022831,78,9,4.48,2,0.2993451824134705,34,0.0608044901777362,0.0,0.03461178671655753,2,63,0
femme,255,0,0.003458498023715415,0.3050889328063241,392,0.016551383399209488,279,0.0,7,21,0.011610671936758894,7,0.0200098814229249,145,2781,226,0.15464426877470355,0.029097481079859936,0.020256916996047432,228,1,89,0.01358695652173913,6,89,43,392,0.40735315658415117,0.040513833992094864,374,151.87455197132616,1959,0.0017292490118577075,117,14,0.006422924901185771,262,13,600,0,1,0.0,135,6827,7,0.0029644268774703555,303,13,0,52,2233,0.3270836384942141,291,14,4.064516129032258,23,0.2875494071146245,190,0.08498023715415019,0.0,0.03409090909090909,26,234,0
esprit,53,0,0.01511879049676026,0.28293736501079914,119,0.03131749460043196,60,0.0,1,0,0.014038876889848811,6,0.023758099352051837,34,615,50,0.183585313174946,0.07855805243445693,0.024838012958963283,51,0,20,0.0021598272138228943,0,20,34,119,0.39935064935064934,0.04103671706263499,84,161.85,543,0.005399568034557235,21,14,0.02159827213822894,88,0,162,0,1,0.0,65,1540,1,0.0064794816414686825,99,8,0,7,623,0.40454545454545454,116,8,5.6,2,0.27213822894168466,20,0.07235421166306695,0.0,0.0183585313174946,8,51,0
conscience,180,0,0.006237006237006237,0.29355509355509357,249,0.02286902286902287,161,0.0004158004158004158,4,0,0.028690228690228692,9,0.022453222453222454,109,1592,168,0.1758835758835759,0.05700804455445545,0.021205821205821207,169,3,85,0.04158004158004158,4,86,57,248,0.39849812265331663,0.02993762993762994,281,149.45962732919256,1121,0.004158004158004158,54,15,0.023284823284823286,148,0,400,1,1,0.0,88,3995,4,0.0033264033264033266,163,5,0,10,1270,0.31789737171464333,254,15,4.354037267080745,12,0.2311850311850312,60,0.08357588357588358,0.0,0.01787941787941788,23,175,0
pensée,5,0,0.1276595744680851,0.2765957446808511,13,0.02127659574468085,12,0.010638297872340425,0,0,0.031914893617021274,4,0.02127659574468085,1,34,4,0.19148936170212766,0.1791958041958042,0.010638297872340425,5,1,1,0.0,0,1,7,13,0.2677165354330709,0.031914893617021274,6,75.25,78,0.0,6,12,0.031914893617021274,12,0,18,0,1,0.0,6,127,0,0.0,12,0,0,3,94,0.7401574803149606,15,1,3.25,0,0.2765957446808511,2,0.07446808510638298,0.0,0.02127659574468085,0,5,0
